"NEW","OLD"
"Petite Île","Petite-Ile"
"Grand Bassin","Grand Bassin"
"Saint Pierre","Saint-Pierre"
"Le tampon","Le Tampon"
"Petit île","Petite-Ile"
"Petite Îlr","Petite-Ile"
"TAMPON","Le Tampon"
"Saintt Joseph","Saint-Joseph"
"Petite-Île","Petite-Ile"
"Entre-Deux","Entre-Deux"
"PETIT ILE","Petite-Ile"
"Petite Ile","Petite-Ile"
"Manapany-les-Bains","Manapany-les-Bains"
"LE TAMPON","LE Tampon"
"Le Tampon","Le Tampon"
"saint-Philippe","Saint-Philippe"
"saint-Joseph","Saint-Joseph"
"Tampon","Le Tampon"
"LA PLAINE DES CAFRES","La Plaine des Cafres"
"Le Tampion","Le Tampon"
"le tampon","Le Tampon"
"ST Philippe","Saint-Philippe"
"St-Philippe","Saint-Philippe"
"Plaine des Cafres","La Plaine des Cafres"
"Saint-Pierre","Saint-Pierre"
"Saint-Philippe","Saint-Philippe"
"SAINT JOSEPH","Saint-Joseph"
"Saint-Joseph","Saint-Joseph"
"Bourg Murat","Bourg Murat"
"lE TAMPON","Le Tampon"
"La Plaine des Cafres","La Plaine des Cafres"
"Petit Ile","Petite-Ile"
"Petit","Petite-Ile"
"Ravine des Cabris","Ravine des Cabris"
"Saint Joseph","Saint-Joseph"
"le Tampon","Le Tampon"
